41,10.0.0.42,10042,10.0.0.45,10045,10.0.0.35,10035,10.0.0.35,10035,10.0.0.44,10044,10.0.0.35,10035
42,10.0.0.43,10043,10.0.0.57,10057,10.0.0.61,10061,10.0.0.65,10065,10.0.0.52,10052,10.0.0.57,10057
43,10.0.0.44,10044,10.0.0.53,10053,10.0.0.42,10042,10.0.0.42,10042,10.0.0.42,10042,10.0.0.42,10042
44,10.0.0.45,10045,10.0.0.35,10035,10.0.0.42,10042,10.0.0.35,10035,10.0.0.40,10040,10.0.0.35,10035
45,10.0.0.46,10046,10.0.0.57,10057,10.0.0.57,10057,10.0.0.48,10048,10.0.0.48,10048,10.0.0.57,10057
46,10.0.0.47,10047,10.0.0.65,10065,10.0.0.50,10050,10.0.0.65,10065,10.0.0.50,10050,10.0.0.50,10050
47,10.0.0.48,10048,10.0.0.39,10039,10.0.0.46,10046,10.0.0.39,10039,10.0.0.46,10046,10.0.0.39,10039
48,10.0.0.49,10049,10.0.0.42,10042,10.0.0.38,10038,10.0.0.39,10039,10.0.0.52,10052,10.0.0.38,10038
49,10.0.0.50,10050,10.0.0.52,10052,10.0.0.52,10052,10.0.0.47,10047,10.0.0.52,10052,10.0.0.52,10052
51,10.0.0.52,10052,10.0.0.49,10049,10.0.0.50,10050,10.0.0.43,10043,10.0.0.49,10049,10.0.0.49,10049
52,10.0.0.53,10053,10.0.0.39,10039,10.0.0.44,10044,10.0.0.39,10039,10.0.0.44,10044,10.0.0.44,10044
56,10.0.0.57,10057,10.0.0.44,10044,10.0.0.46,10046,10.0.0.43,10043,10.0.0.44,10044,10.0.0.44,10044
60,10.0.0.61,10061,10.0.0.52,10052,10.0.0.46,10046,10.0.0.43,10043,10.0.0.52,10052,10.0.0.52,10052
64,10.0.0.65,10065,10.0.0.43,10043,10.0.0.47,10047,10.0.0.43,10043,10.0.0.43,10043,10.0.0.43,10043

